# УИР 1, вариант 60 — Данилов Тимофей Николаевич, P3331
# Источник: !_УИР1_Варианты_с.xlsx, лист «51-100», столбец с заголовком 60, строки 2..301
# 300 наблюдений, по одному в строке, в исходном порядке
#
# i	X_i
1	144.47978995067075
2	119.04813863832409
3	53.79904448654049
4	65.64948576123241
5	113.79954442515483
6	73.24085780998699
7	321.7542188288238
8	102.36874445478513
9	282.52092727770093
10	52.03567618354762
11	178.1429759398837
12	63.71542845729101
13	298.6805921792236
14	87.71208625736111
15	184.68151254740934
16	261.2324009742076
17	219.22424772031675
18	87.28955830801284
19	91.2797063049919
20	231.9035848697737
21	19.802455959843968
22	170.22741772509625
23	51.90630242282273
24	276.7629883685843
25	66.83155343437963
26	40.89464465147891
27	60.1869810284974
28	334.7276061701061
29	200.31566500094328
30	199.583336242809
31	203.70292933894677
32	92.67308298988084
33	181.5270049298935
34	169.1915872052822
35	302.4689800703881
36	132.22959088881302
37	166.62729598377976
38	233.08445475494
39	121.46073878761959
40	288.54972039121577
41	51.37079109498
42	50.705858813647176
43	87.24939657382964
44	452.3447757849582
45	44.56203124241846
46	98.9956731095663
47	211.3474375925266
48	56.965068531225064
49	189.8617475705649
50	134.50828972551602
51	155.35406799305102
52	134.52301905472734
53	203.01493753659358
54	108.92072406656615
55	281.0515490811969
56	158.06507093457623
57	85.10929190142981
58	262.6415415807737
59	183.4409912293682
60	159.9423138378418
61	103.8063476880751
62	83.4963403104161
63	172.81143913550963
64	150.0270665110741
65	74.11025825937413
66	123.44226069520798
67	72.28478270635819
68	112.1876664098694
69	134.12996270560373
70	181.03754335013917
71	95.14558132138407
72	236.53375731279365
73	215.69121647440647
74	149.39567296149664
75	349.5009503825447
76	93.39600481321921
77	94.60487058261845
78	422.33413042349815
79	158.167871728627
80	227.93977232304428
81	499.5814669474141
82	383.68894217590605
83	528.6566456602372
84	423.37697043422975
85	121.43665530264975
86	135.15347935636203
87	238.2656462671001
88	244.26638716888587
89	88.38659669090961
90	165.1311672259663
91	207.31176669491074
92	533.4894175213823
93	424.85779572553133
94	491.7205692400591
95	145.90041860857863
96	155.32988085489265
97	125.1840257401116
98	166.8167799436825
99	112.30338836232134
100	153.6483990122726
101	123.71710770724965
102	398.2850012240968
103	267.50570129766885
104	206.47932561786473
105	177.4404432609199
106	505.7002679312191
107	232.0152128571832
108	214.9022832176362
109	160.8076064452285
110	203.3439875148182
111	166.5392265342554
112	116.39949247437947
113	152.91797225282374
114	234.16398119482955
115	230.20549668535025
116	243.69085172350495
117	201.94860301932977
118	63.362281354224905
119	210.6444986295125
120	264.7470847431455
121	135.34672146026895
122	362.55794871096873
123	432.34757655135587
124	602.7423296065825
125	392.6189292337684
126	183.9435104831867
127	250.924975419695
128	324.6457249488241
129	234.54057617763033
130	345.4957547843191
131	240.00889218952034
132	98.08743888382782
133	327.36145216186486
134	111.03611791146186
135	146.46612104411318
136	128.28793448722598
137	331.19277328740566
138	305.7782172843235
139	170.74392066604273
140	420.20520822661325
141	232.13513377598517
142	465.3490514771994
143	196.53467153210187
144	421.0416820511092
145	212.6513038623005
146	258.7010307567729
147	390.21972477286045
148	218.06528462279798
149	207.9958890071842
150	216.06212133569431
151	267.130634585974
152	140.80128277207416
153	293.478427997817
154	164.75346753009532
155	274.33781030049306
156	430.7551790289668
157	502.85601247813236
158	329.133792310534
159	343.6493110876784
160	294.5531465523351
161	158.8597417779214
162	171.12941477004523
163	163.32681677415493
164	183.65512680563782
165	178.4466526947902
166	345.6353576263539
167	266.57508698895924
168	312.7448384003415
169	317.5747827568806
170	226.84467594772423
171	200.82242613989536
172	295.51616350343977
173	267.50441201362406
174	296.8194249054705
175	252.0822030083073
176	268.85038204182626
177	210.2845302509744
178	216.60436256817115
179	187.18482861231664
180	176.43069311888752
181	273.74173607129904
182	338.65195003238347
183	303.5371519063386
184	255.48051772928682
185	188.7985336100401
186	426.6295918826712
187	483.01167893964805
188	614.0299988539739
189	616.8925500660257
190	776.5223388211555
191	493.93520239013475
192	470.88755427001473
193	537.7151436216441
194	456.4923294558498
195	571.6539651360524
196	881.3294860620533
197	674.5307467737506
198	579.7752824850387
199	764.854706502919
200	562.1302132852874
201	863.7626725334544
202	774.6417876958317
203	734.4292569759613
204	714.579746568129
205	1130.2131379694877
206	869.2635429289569
207	778.3195197967459
208	867.1734163537212
209	814.6741977628931
210	1072.613238414504
211	1020.542754546031
212	380.66976840058567
213	346.1055963031638
214	185.90476219874944
215	178.76834579251917
216	371.11807245625783
217	280.3457870921111
218	248.07136497201185
219	289.4177020811599
220	346.60389256710965
221	270.9489651221246
222	322.71985658036033
223	241.37482882299417
224	316.6775711607266
225	291.88615878911975
226	358.24733015785796
227	449.73354985722324
228	382.5460346725012
229	539.5935621562724
230	309.22767521246203
231	412.41032803991686
232	370.93495216636535
233	276.9482894815349
234	540.2398612826141
235	448.3683508409797
236	361.3013523489673
237	359.2740836217004
238	322.4138334513607
239	473.8912976005565
240	308.98602287309546
241	394.38326254861533
242	322.2620523323893
243	445.1820915660612
244	367.3001754452424
